target_id	length	eff_length	Adur_4	Adur_4_tpm
arahy.Tifrunner.gnm2.ann1.S3CVLX.1	897	716.625	9	0.162121
arahy.Tifrunner.gnm2.ann1.HDM8J3.1	876	695.643	0	0
arahy.Tifrunner.gnm2.ann1.QS6CEN.1	1479	1298.6	1.33461	0.0132668
arahy.Tifrunner.gnm2.ann1.MAV50X.1	429	250.128	11	0.5677
arahy.Tifrunner.gnm2.ann1.I9WEFC.1	2001	1820.6	0	0
arahy.Tifrunner.gnm2.ann1.HE7HHG.1	1854	1673.6	31	0.23911
arahy.Tifrunner.gnm2.ann1.B0S4UE.1	534	354.144	0	0
arahy.Tifrunner.gnm2.ann1.0KX8XR.1	573	393.052	0	0
arahy.Tifrunner.gnm2.ann1.DI08LN.1	477	297.502	8	0.347128
arahy.Tifrunner.gnm2.ann1.IE22H8.1_arahy.Tifrunner.gnm2.ann1.KWS21K.1	1167	986.605	653.843	8.55498
arahy.Tifrunner.gnm2.ann1.JY7X0W.1	690	509.964	4	0.101253
arahy.Tifrunner.gnm2.ann1.4RGJ17.1	429	250.128	0	0
arahy.Tifrunner.gnm2.ann1.HV4IE8.1	861	680.711	6.01258	0.114021
arahy.Tifrunner.gnm2.ann1.DQ97IN.1	414	235.401	0	0
arahy.Tifrunner.gnm2.ann1.X80BEN.1	366	188.952	2	0.136636
arahy.Tifrunner.gnm2.ann1.0FI6RG.1	1143	962.605	2.47206	0.0331512
arahy.Tifrunner.gnm2.ann1.U2FY0G.1	1053	872.605	39.5649	0.585304
arahy.Tifrunner.gnm2.ann1.2Y8ZXL.1	603	423.021	2	0.0610319
arahy.Tifrunner.gnm2.ann1.PD4MQY.1	570	390.052	18.4207	0.609638
arahy.Tifrunner.gnm2.ann1.C7Z6YQ.1	1446	1265.6	123.356	1.25821
arahy.Tifrunner.gnm2.ann1.R869CP.1	2184	2003.6	184.688	1.18991
arahy.Tifrunner.gnm2.ann1.3L2L0Y.1	918	737.625	0	0
arahy.Tifrunner.gnm2.ann1.EZ74NH.1	1662	1481.6	0	0
arahy.Tifrunner.gnm2.ann1.09HRLI.1	1491	1310.6	193.129	1.90224
arahy.Tifrunner.gnm2.ann1.NJ2GVX.1	591	411.032	2	0.0628122
arahy.Tifrunner.gnm2.ann1.5HRA6T.1	450	270.823	0	0
arahy.Tifrunner.gnm2.ann1.V64ZKA.1	2775	2594.6	65.9004	0.327873
arahy.Tifrunner.gnm2.ann1.ZG7FH2.1	681	500.964	0	0
arahy.Tifrunner.gnm2.ann1.G4V3K2.1	1710	1529.6	2	0.0168787
arahy.Tifrunner.gnm2.ann1.AR5SA1.1	1086	905.605	0	0
arahy.Tifrunner.gnm2.ann1.88WVD3.1	3822	3641.6	0	0
arahy.Tifrunner.gnm2.ann1.7ZS4RD.1	783	602.825	2.18557	0.0468017
arahy.Tifrunner.gnm2.ann1.NLQ59B.1	945	764.625	0	0
