target_id	length	eff_length	Asue_2	Asue_2_tpm
AsAa_g2445	1185	1005.93	5.72362	0.0656132
AsAa_g4072	1032	852.926	150.296	2.03199
AsAt_g12519	2547	2367.93	418.584	2.03845
AsAa_g16443	945	765.98	6	0.0903275
AsAa_g9627	969	789.98	735.999	10.7435
AsAt_g16637	1095	915.926	275	3.46225
AsAt_g10545	837	657.98	19	0.332987
AsAt_g17576	336	161.503	0	0
AsAa_g7137	648	468.98	24	0.590123
AsAt_g659	687	507.98	12	0.272408
AsAa_g12737	342	167.129	22	1.51794
AsAt_g2928	786	606.98	342.489	6.50666
AsAa_g17941	555	376.081	497.495	15.2544
AsAt_g18216	2268	2088.93	157.33	0.868508
AsAa_g14089_AsAa_g14092	1191	1011.93	0	0
AsAa_g19822	1425	1245.93	141.053	1.30549
AsAa_g20397	237	78.0553	0	0
AsAa_g19416	804	624.98	0	0
AsAa_g15570	213	61.2551	0	0
AsAt_g379	2373	2193.93	361.832	1.90183
AsAa_g2782	1491	1311.93	16	0.140636
AsAa_g16777	477	298.403	8.09697	0.3129
AsAa_g19013	2079	1899.93	201.658	1.22396
AsAa_g22745	1638	1458.93	458.602	3.62484
AsAa_g2914	498	319.25	0	0
AsAt_g11226	3759	3579.93	1309.85	4.21923
AsAa_g16805	549	370.081	0	0
AsAt_g7477	1170	990.926	2094.69	24.3761
AsAa_g5541	2268	2088.93	0	0
AsAt_g21913	2127	1947.93	0	0
AsAt_g17781	1371	1191.93	121.085	1.17146
AsAa_g1961	687	507.98	0	0
AsAa_g10070	474	295.453	0	0
AsAa_g11679	579	400.055	253.758	7.31453
AsAa_g15151	1695	1515.93	71	0.54009
AsAt_g6470	1188	1008.93	142	1.62299
AsAa_g4344	714	534.98	6	0.12933
AsAt_g19163	1989	1809.93	0	0
AsAt_g6399	369	192.615	361	21.6124
AsAt_g12438	1428	1248.93	35	0.32316
AsAa_g3845	897	717.98	24	0.385465
AsAa_g14703	1908	1728.93	251.36	1.67651
AsAt_g18422	6627	6447.93	3123.47	5.58603
AsAt_g8130	1707	1527.93	626.324	4.72697
AsAt_g7648	3009	2829.93	1504.03	6.12869
AsAt_g13627	1086	906.926	535.38	6.80733
AsAt_g12137	1260	1080.93	46.1794	0.49265
AsAt_g11917	228	71.6099	11	1.77136
AsAa_g20603	2025	1845.93	17	0.106199
AsAt_g6701	918	738.98	0	0
AsAa_g10923	222	67.389	3	0.513356
AsAa_g21751	1161	981.926	522.594	6.13722
AsAt_g12152	1422	1242.93	142.784	1.32471
AsAt_g18389	204	55.3238	0	0
AsAa_g8178	987	807.954	44	0.62799
AsAa_g19334	3834	3654.93	5	0.0157753
AsAa_g2719	1395	1215.93	201	1.90623
AsAa_g22952	750	570.98	227.176	4.58804
AsAt_g15499	675	495.98	1467	34.1077
AsAa_g21757	480	301.383	13	0.497405
AsAt_g4713	1356	1176.93	156.406	1.53247
AsAt_g21754	624	445.026	2	0.051824
AsAa_g17281	1749	1569.93	543.136	3.98947
AsAa_g1624	684	504.98	238.587	5.44828
AsAt_g357	2121	1941.93	209.87	1.24625
AsAt_g21276	306	134.257	913.783	78.4862
AsAt_g22092	996	816.926	17.9714	0.25368
AsAt_g5416	1083	903.926	295.981	3.77587
AsAa_g15847	1269	1089.93	1384.29	14.6459
AsAa_g12869	792	612.98	0	0
AsAa_g10194	1551	1371.93	1067.98	8.97673
AsAa_g2047	3039	2859.93	621.438	2.5057
AsAt_g14937	2421	2241.93	16	0.0822971
AsAt_g21097	1134	954.926	277.26	3.34814
AsAa_g6357	480	301.383	43.0409	1.64683
AsAt_g10449	705	525.98	39	0.85503
AsAt_g8793	477	298.403	28	1.08203
AsAa_g18023	711	531.98	50.3531	1.09148
AsAa_g10977	1296	1116.93	372	3.84065
AsAt_g17195	1122	942.926	124	1.51646
AsAa_g20016	537	358.093	57.697	1.85799
AsAa_g1149	2172	1992.93	138	0.798498
AsAt_g18899	600	421.055	50.9198	1.39455
AsAt_g6513	306	134.257	0	0
AsAt_g12362	1203	1023.93	257.832	2.90371
AsAt_g20014	1929	1749.93	128.492	0.846725
AsAa_g15448	663	483.98	0	0
AsAa_g1486	1014	834.926	299.88	4.14176
AsAa_g18794	345	169.941	15	1.01784
